violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
HS,11366,KEEP PLACE TO SELL/ETC NARCOTIC CNTL SUBSTANCE (F),other,11366,11366,0,all|drug,drug: explicit HS numeric statute family 11366,236,233,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11366.
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST (F),other,1551(A),1551,0,all,All-source population only; outside the selected statute-family indicators,231,231,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=1551.
PC,21510(B),CARRY SWITCHBLADE KNIFE ON PERSON (M),ambiguous_related,21510(B),21510,0,all|weapons,weapons: explicit PC numeric statute family 21510,228,228,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21510.
PC,69,THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),other,69,69,0,all,All-source population only; outside the selected statute-family indicators,227,227,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=69.
PC,25400(A)(1),CARRY CONCEALED WEAPON IN VEHICLE (F),other,25400(A)(1),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,224,220,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,22610(A),FELON POSSESS/BUY/USE STUN GUN (M),other,22610(A),22610,0,all|weapons,weapons: explicit PC numeric statute family 22610,220,220,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22610.
PC,243B,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),ambiguous_related,243B,243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,211,211,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,488,PETTY THEFT(from Building) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,211,210,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,647 (B)(2),DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),other,647(B)(2),647,0,all,All-source population only; outside the selected statute-family indicators,211,211,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
VC,2800.1(A),EVADING PEACE OFFICER (M),other,2800.1(A),2800.1,0,all|driving,driving: explicit VC numeric statute family 2800.1,208,208,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.1.
PC,530.5(C)(1),POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD (M),other,530.5(C)(1),530.5,0,all|property,property: explicit PC numeric statute family 530.5,207,202,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,4573.8,POSS DRUGS/ALCOHOLIC BEVERAGE IN PRISON/JAIL (F),other,4573.8,4573.8,0,all,All-source population only; outside the selected statute-family indicators,205,201,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.8.
PC,664/187(A),ATTEMPTED MURDER (F),other,664/187(A),187,1,all,All-source population only; outside the selected statute-family indicators,203,202,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=187.
PC,135,DESTROY/CONCEAL EVIDENCE (M),other,135,135,0,all,All-source population only; outside the selected statute-family indicators,201,201,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=135.
PC,186.22(B)(1),PROMOTE/ASSIST FELONY CRIMINAL STREET GANG (F),other,186.22(B)(1),186.22,0,all,All-source population only; outside the selected statute-family indicators,195,189,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=186.22.
PC,496(D),ATTEMPT TO COMMIT 496 PC:STOLEN PROP (F),other,496(D),496,0,all|property,property: explicit PC numeric statute family 496,195,192,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
VC,23103,RECKLESS DRVG:HWY (M),other,23103,23103,0,all|driving,driving: explicit VC numeric statute family 23103,190,190,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23103.
PC,529(A),FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),other,529(A),529,0,all,All-source population only; outside the selected statute-family indicators,187,186,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=529.
PC,602(M),TRESPASS:OCCUPY REAL PROPERTY W/O OWNER CONSENT (M),other,602(M),602,0,all,All-source population only; outside the selected statute-family indicators,186,182,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,470(D),FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (F),other,470(D),470,0,all|property,property: explicit PC numeric statute family 470,185,183,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,530.5(C)(3),POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (F),other,530.5(C)(3),530.5,0,all|property,property: explicit PC numeric statute family 530.5,180,176,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,529(A)(3),PERSONATE TO MAKE OTHER LIABLE (F),other,529(A)(3),529,0,all,All-source population only; outside the selected statute-family indicators,177,177,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=529.
HS,11377(A),POSSESS CONTROLLED SUBSTANCE,other,11377(A),11377,0,all|drug,drug: explicit HS numeric statute family 11377,175,167,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11377.
PC,4571,FELON ON PRISON/JAIL GROUNDS (F),other,4571,4571,0,all,All-source population only; outside the selected statute-family indicators,172,167,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4571.
PC,4574(A),SEND/BRING WEAP/TEAR GAS INTO PRISON/JAIL (F),other,4574(A),4574,0,all,All-source population only; outside the selected statute-family indicators,172,170,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4574.
PC,487(A),GRAND THEFT (Theft From Mot Veh) (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,172,166,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,476,MAKE/PASS/PUBLISH FICTITIOUS CHECK/BILL/NOTE (F),other,476,476,0,all|property,property: explicit PC numeric statute family 476,170,168,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=476.
PC,207(A),KIDNAPPING (F),ambiguous_related,207(A),207,0,all,All-source population only; outside the selected statute-family indicators,169,166,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=207.
PC,236,FALSE IMPRISONMENT (M),ambiguous_related,236,236,0,all,All-source population only; outside the selected statute-family indicators,168,168,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=236.
PC,21510(A),POSSESS SWITCHBLADE IN VEHICLE (M),ambiguous_related,21510(A),21510,0,all|weapons,weapons: explicit PC numeric statute family 21510,166,166,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21510.
HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA,other,11364,11364,0,all|drug,drug: explicit HS numeric statute family 11364,162,150,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11364.
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (M),ambiguous_related,245(A)(4),245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,159,155,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
PC,186.22(A),PARTICIPATE IN CRIMINAL STREET GANG (F),other,186.22(A),186.22,0,all,All-source population only; outside the selected statute-family indicators,157,146,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=186.22.
HS,11366.8(B),USE FALSE COMPARTMENT TO STORE CONT SUBS (F),other,11366.8(B),11366.8,0,all|drug,drug: explicit HS numeric statute family 11366.8,155,150,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11366.8.
VC,20001(A),HIT AND RUN RESULTING IN DEATH OR INJURY(IBR 90Z),other,20001(A),20001,0,all|driving,driving: explicit VC numeric statute family 20001,155,155,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=20001.
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:PEACE OFFICER REQUEST (M),other,602(O),602,0,all,All-source population only; outside the selected statute-family indicators,151,145,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
VC,10855,EMBEZZLE LEASED/RENTED VEH (F),other,10855,10855,0,all|property,property: explicit VC numeric statute family 10855,151,151,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10855.
PC,69(A),THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),other,69(A),69,0,all,All-source population only; outside the selected statute-family indicators,145,145,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=69.
PC,25850(C)(1),CARRY LOADED FIREARM WITH PRIOR FELONY CONVICTION (F),other,25850(C)(1),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,139,138,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
VC,23136,DUI:UNDER 21YR W/BA.01 (ZERO TOLERANCE) (I),other,23136,23136,0,all|driving,driving: explicit VC numeric statute family 23136,137,137,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23136.
PC,32310(A),MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE (F),other,32310(A),32310,0,all|weapons,weapons: explicit PC numeric statute family 32310,132,128,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32310.
HS,11375(B)(1),POSS FOR SALE DESIGNATED CONTROLLED SUBSTANCE (F),other,11375(B)(1),11375,0,all|drug,drug: explicit HS numeric statute family 11375,130,126,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11375.
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH MINOR INJURY (F),ambiguous_related,243(C)(2),243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,126,126,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
GC,8665,STATE OF EMERGENCY VIOLATION (M),other,8665,8665,0,all,All-source population only; outside the selected statute-family indicators,123,123,
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST (M),other,602(O),602,0,all,All-source population only; outside the selected statute-family indicators,123,119,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),ambiguous_related,245A1,245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,122,120,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
PC,29180(C),OWN F/ARM W/O SERIAL NUM (M),other,29180(C),29180,0,all|weapons,weapons: explicit PC numeric statute family 29180,121,118,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=29180.
PC,32310(C),POSSESS LARGE CAPACITY MAGAZINE (M),other,32310(C),32310,0,all|weapons,weapons: explicit PC numeric statute family 32310,120,120,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32310.
VC,23140A,MINOR UNDER 21YR DRIVE W/BAC 0.05 (I),other,23140A,23140,0,all|driving,driving: explicit VC numeric statute family 23140,119,119,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23140.
PC,187A,MURDER (F),ambiguous_related,187A,187,0,all,All-source population only; outside the selected statute-family indicators,118,118,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=187.
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (F),ambiguous_related,243.9A,243.9,0,all,All-source population only; outside the selected statute-family indicators,116,116,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.9.
PC,21310,CARRY CONCEALED DIRK OR DAGGER (M),other,21310,21310,0,all|weapons,weapons: explicit PC numeric statute family 21310,114,114,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21310.
PC,314.1,INDECENT EXPOSURE (M),other,314.1,314.1,0,all,All-source population only; outside the selected statute-family indicators,112,112,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=314.1.
PC,646.9(B),STALKING:TEMPORARY RESTRAINING ORDER (F),ambiguous_related,646.9(B),646.9,0,all,All-source population only; outside the selected statute-family indicators,111,111,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=646.9.
PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,core_dv,243(E)(1),243,0,all|core,Core DV: existing reviewed exact charge classification,109,109,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,30605(A),ILLEGALLY POSSESS ANY ASSAULT WEAPON (F),other,30605(A),30605,0,all|weapons,weapons: explicit PC numeric statute family 30605,109,107,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30605.
PC,459,BURGLARY (FOR PURPOSE OF FRAUD/FORGERY) (F),other,459,459,0,all|property,property: explicit PC numeric statute family 459,109,107,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
PC,71,THREATEN SCHOOL/PUBLIC OFCR/EMPLOYEE (F),other,71,71,0,all,All-source population only; outside the selected statute-family indicators,109,109,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=71.
VC,23152C,ADDICT DRIVE VEH (M),other,23152C,23152,0,all|driving,driving: explicit VC numeric statute family 23152,109,109,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
PC,451D,ARSON:PROP (F),other,451D,451,0,all,All-source population only; outside the selected statute-family indicators,108,108,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,24610,MANUFACTURE/SALE/POSSESS UNDETECTABLE FIREARM (F),ambiguous_related,24610,24610,0,all|weapons,weapons: explicit PC numeric statute family 24610,105,105,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=24610.
PC,459,BURGLARY (SHOPLIFTING) (F),other,459,459,0,all|property,property: explicit PC numeric statute family 459,104,104,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
PC,25400(A)(1),CARRY CONCEALED WEAPON IN VEHICLE (M),other,25400(A)(1),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,99,99,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,470(A),FORGERY (F),other,470(A),470,0,all|property,property: explicit PC numeric statute family 470,97,97,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,288(A),LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),ambiguous_related,288(A),288,0,all,All-source population only; outside the selected statute-family indicators,96,96,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=288.
VC,5200,TWO PLATES REQUIRED (I),other,5200,5200,0,all,All-source population only; outside the selected statute-family indicators,94,94,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=5200.
PC,215(A),CARJACKING (F),ambiguous_related,215(A),215,0,all,All-source population only; outside the selected statute-family indicators,91,90,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=215.
PC,12022.1,COMMIT FEL ON BAIL OR O/R RELEASE (BAIL+),other,12022.1,12022.1,0,all,All-source population only; outside the selected statute-family indicators,90,89,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=12022.1.
PC,646.9(A),STALKING (F),ambiguous_related,646.9(A),646.9,0,all,All-source population only; outside the selected statute-family indicators,90,89,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=646.9.
PC,273.6(B),VIOL COURT ORDER TO PREVENT DOMESTIC VIOL W/PHYSICAL INJ (M),dv_labeled_order,273.6(B),273.6,0,all,All-source population only; outside the selected statute-family indicators,88,88,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.6.
PC,647(B)(1),DISORDERLY CONDUCT: PROSTITUTION - SEX FOR COMPENSATION (M),other,647(B)(1),647,0,all,All-source population only; outside the selected statute-family indicators,88,87,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
